# tornado_data.dat
# X Y
1950	206
1951	261
1952	246
1953	442
1954	570
1955	603
1956	518
1957	867
1958	576
1959	612
1960	619
1961	721
1962	666
1963	474
1964	719
1965	916
1966	593
1967	938
1968	668
1969	615
1970	671
1971	899
1972	746
1973	1114
1974	972
1975	923
1976	848
1977	861
1978	801
1979	865
1980	875
1981	786
1982	1063
1983	937
1984	925
1985	703
1986	777
1987	662
1988	702
1989	871
1990	1151
1991	1144
1992	1312
1993	1183
1994	1094
1995	1251
1996	1180
1997	1154
1998	1440
1999	1361
2000	1077
2001	1231
2002	955
2003	1415
2004	1836
2005	1263
2006	1139
2007	1115
2008	1737
2009	1181
2010	1318
2011	1775
2012	955
2013	939
2014	908
